,review,is_AI
68,"Купил куртку-рубашку, но она оказалась неудобной. Недоволен, дорого стоит. Не ожидал, что куртка окажется такой неудобной. Больше не буду покупать в этом магазине
",1
69,"Товар пришёл вовремя, соответствует заявленным характеристикам. Размер L подошёл. Джинсы качественные, хорошо сшиты. Доволен покупкой
",1
70,"Купила книгу для себя и осталась довольна. Книга качественная, обложка хорошая, бумага плотная. Но шрифт мелковат, шрифт для детей 12+
",1
71,"Это был не тот гель, который я ожидал. Он оказался не таким эффективным, как я думал. Но, может быть, он подойдёт моей дочке
",1
72,"Шампунь хороший, сестра довольна. Объём большой, хватит на долго. В целом, покупкой доволен
",1
73,"Купил книгу «Маленький принц» для тёщи. Отличное издание, обложка качественная, страницы плотные. Книга в твёрдом переплёте, не мнётся. Иллюстрации чёткие. Рекомендую
",1
74,"Набор столовых приборов Ikea оказался удобным и качественным, но немного не подошёл по размеру. Доволен, что купил их для друга. Не ожидал, что они будут немного больше, чем нужно
",1
75,"Эта вещь не оправдала моих ожиданий. Размер не подошёл, а качество оставляет желать лучшего. Не рекомендую
",1
76,"Покрывало качественное, но не совсем подходит для двуспальной кровати. Сестра недовольна
",1
77,"Маска оказалась удобной и надёжной. Жена в восторге. Спасибо за качественный товар
",1
78,"Купил йогуртницу Kitfort жене, доволен. Вещь качественная, сделана хорошо. Жене тоже понравилась
",1
79,"Купил отличный рюкзак для приятеля. Объём большой, качество хорошее. Доволен покупкой
",1
80,"Кроссовки оказались удобными и хорошо сидят. Размер подошёл. Но не уверен, что они подойдут для долгих прогулок
",1
81,"Купил эту фигню для врача, но она оказалась совершенно не такой крутой, как я думал. Не оправдала моих ожиданий. Недоволен
",1
82,"Товар оказался неудобным. Размер не подошёл. Недоволен. Дорого
",1
83,"Отличные наушники! Качество звука на высоте, хорошо сидят на голове, водонепроницаемость тоже порадовала. Рекомендую
",1
84,"Маска хорошая, белая. Очень довольна
",1
85,"Покрывало мягкое и зелёного цвета. Не ожидал, что оно будет настолько удобным. Очень доволен покупкой
",1
86,"Приятель, я купил тебе отличный аквариум! 30 л. — самое то. Сангвиник, ты будешь в восторге
",1
87,"Куртка-рубашка оказалась удобной и качественной. Размер M идеально подошёл. Цвет бежевый подошёл к его лицу. Я очень довольна покупкой и рекомендую этот товар всем
",1
88,"Купил витамины для волос, врач рекомендовал. Не ожидал, что они такие вкусные. Доволен
",1
89,"Купил зеркало для ванной, но оно не соответствует описанию. Свекровь осталась недовольна
",1
90,"Купила простынь. Недорогая. Пришла целая. Но упаковка вскрыта. Не знаю, как это понимать. Не уверена, что хочу заказывать ещё
",1
91,"Это не та подушка, что мне обещали. Размер не соответствует заявленному. Мало того, она неудобная. Не рекомендую
",1
92,"Купил тёще сумку Gucci. Цвет коричневый. Вещь хорошего качества. Немного дороговато
",1
93,"Купил зеркало для ванной для свекрови, всё в порядке
",1
94,"Купил для врача пылесос. Не ожидал, что будет так хорош. Флегматичный строитель, но доволен
",1
95,"Товар не оправдал ожиданий. Гель оказался неудобным в использовании. Не подошёл по свойствам. Не рекомендую
",1
96,"Не подошёл. Недоволен. Дорого. Ожидания не оправдались
",1
97,"Отличное колечко! Очень довольна покупкой. Фианиты красиво переливаются на свету. Размер подошёл идеально
",1
98,"Вещи как влитые. Приятель в восторге. Размер подошёл идеально. Отличный магазин
",1
99,"Купил платье XL размера для свекра в бежевом цвете. Качество хорошее, но не совсем то, что ожидал
",1
100,"Не оправдал ожиданий. Дорого для абонемента. Недоволен
",1
101,"Купил покрывало мягкое, отлично подошло отцу. Зелёный цвет вписался в интерьер. Доволен покупкой
",1
102,"Купил кольцо для отца. Вещь качественная, выполнена хорошо. Отец доволен
",1
103,"Не ожидал, что кофе окажется настолько хорош. Качество упаковки и вкус напитка превзошли мои ожидания. Но цена могла бы быть и поменьше. Рекомендую к покупке, если не жалко денег
",1
104,"Купил фильтр для воды Барьер Классик для мужа. Хорошо фильтрует. Привлёк ценой и универсальностью. Рекомендую
",1
105,"Покрывало качественное, цвет приятный. Не ожидал, что подойдёт к интерьеру
",1
106,"Гель для душа оказался хорошим, но, возможно, не совсем подходящим для меня. Дочке он понравился
",1
107,"Фонарик оказался неудобным. Не подошёл для свекра. Свёкор недоволен. Дорого. Не рекомендую
",1
108,"Не ожидал, что зеркало окажется настолько неудобным. Полка слишком маленькая, а само зеркало неудобно держать. Не рекомендую
",1
109,"Купил сыну сумку Gucci. Доволен, что она оказалась качественной и подошла по размеру. Хороший выбор для мальчика
",1
110,"Смартфон оказался качественным и функциональным. Внимательно изучил характеристики перед покупкой. Очень доволен своим выбором
",1
111,"Купил Маленького принца. Книга супер
",1
112,"Купил качественные футболки для тренировок. Размер и цвет подошли отлично. Вещь хорошая, тренеру понравилось
",1
113,"Не ожидал, что маска окажется настолько неудобной. Не подошёл размер. Надел её и почувствовал, что она давит на глаза. Пришлось вернуть. Недоволен
",1
114,"Не ожидал, что рюкзак окажется таким неудобным! Купил его для подруги, а он оказался не по размеру. Не подошёл. Доволен, что вернул, а не стал мучиться. Дороговато, конечно, но это уже другой вопрос. Не советую
",1
115,"Зубная паста хорошая, но не для меня. Отбеливает слабовато. Надо было взять другую
",1
116,"Купил куртку-рубашку. Она оказалась удобной и хорошо подходит для меня. Не ожидал, что она будет так хороша за свою цену
",1
117,"Вещь оказалась неудобной. Размер XXL явно не для моей тёщи. Недоволен. Не рекомендую
",1
118,"Футболка оказалась не по размеру, а доставка не соответствовала ожиданиям. Недоволен
",1
119,"Не ожидал, что зеркало без подсветки будет таким большим. Но смотрится круто. Доволен покупкой
",1
120,"Платьице неплохое, размер подошёл. Но подруга просила бежевый, а это белое. Ну да ладно, главное, что ей понравилось
",1
121,"Купил отличный фитнес-браслет. Треккинг, пульс, качество сна, уведомления — всё супер. Рекомендую
",1
122,"Сумка-шоппер оказалась удобной и вместительной. Тёща довольна. Дизайн стильный, соответствует её вкусу. Рекомендую
",1
123,"Эти наушники оказались не такими удобными, как я ожидал. Они тяжёлые и давят на голову. Звук не такой чистый, как хотелось бы. За такую цену можно было сделать лучше
",1
124,"Ну что сказать, джинсы оказались не моего размера, но это не страшно, возьму побольше. Недоволен
",1
125,"Не ожидал, что эти часы будут такими удобными. За свои деньги — топчик
",1
126,"Бежевое платье XS от H&M — крутой подарок тренеру. Померил, подошло. Недорого, удобно, доволен. :
",1
127,"Купил маску для сна Tkano. Вещь оказалась качественной и удобной. Брат доволен
",1
128,"Купил рюкзак для ноутбука для свекрови, доволен. Рюкзак оказался удобным и вместительным. Покрывал 17-дюймовый ноутбук и все необходимые вещи. Подходит для моих флегматичных запросов
",1
129,"Маска оказалась удобной и эффективной. Маска хорошо подошла к моему типу кожи. Маска имеет приятную текстуру и запах. Я доволен покупкой
",1
130,"Купил сестре смартфон. Белый. Вещь хорошая. Но дорого
",1
131,"Купил отличные джинсы для отца. Размер подошёл, качество хорошее. Вещь понравилась
",1
132,"Эта зубная паста не оправдала моих ожиданий. Не рекомендую к покупке
",1
133,"Эта игра оказалась не такой уж и весёлой. Доставил не то, что ожидал. Не рекомендую
",1
134,"Купил платье дочке для праздника. Размер подошёл, качество хорошее. Но ткань немного колючая
",1
135,"Шампунь хороший, мужу понравился. Ментол освежает. Объём небольшой, но для поездок подходит
",1
136,"Купил брату брюки Next, M, зелёные. Он доволен. Я тоже
",1
137,"Купил Сантек! Зеркало отличное, размер как раз, приятель доволен. Сантехник тоже
",1
138,"Купил простыню АртПостель. Вещь качественная, красивая. Хорошо подойдёт для учительницы
",1
139,"Матрас IKEA оказался не совсем тем, что я ожидал. Жёсткий, ортопедический, но не для моего веса. Недоволен, что продавец не предупредил о жёсткости. Буду искать другой матрас
",1
140,"Куртка оказалась удобной и хорошо подошла, но качество упаковки могло быть лучше. Доволен покупкой
",1
141,"Купил светильник для тренера. Вещь качественная, но упаковка была повреждена
",1
142,"Не оправдала ожиданий, ожидал лучшего. Не рекомендую
",1
143,"Лампа оказалась не той, что я ожидал. Цвет не соответствует заявленным характеристикам. Недоволен качеством товара
",1
144,"Товар оказался неудобным. Не подошёл. Доволен не был. Дороговато. Не рекомендую
",1
145,"Зубная паста подошла маме. Не вызвал аллергии. Недорогая. В целом, покупкой доволен
",1
146,"Купил отличные брюки, качество хорошее, размер подошёл. Рекомендую
",1
147,"Продавец, не надо обманывать! Браслет не подошёл по размеру. Я думал, что он будет в пору, но он оказался слишком тугим. Я недоволен, это не тот товар, который я хотел. Я не рекомендую этот товар другим покупателям
",1
148,"Купила увлажнитель воздуха для мужа. Очень довольна качеством. Сангвиник
",1
149,"Эта куртка-рубашка оказалась совсем не такой, как я ожидал. Материал тонкий, явно не для холодов. Не подошёл, выброшенные деньги
",1
150,"Эта книга оказалась неудобной. Она слишком маленькая для моих старых глаз. Я не могу читать её без очков, а в очках буквы слишком большие. Книга не оправдала моих ожиданий
",1
151,"Купил мультиварку и очень ею доволен. Теперь готовлю ещё вкуснее, чем раньше. Спасибо
",1
152,"Приятель, я знаю крутой магазин, там отличные рубашки Pull & Bear. Размер L, цвет красный, подойдёт любому. Рекомендую
",1
153,"Не ожидал, что смарт-часы окажутся настолько неудобными. Не оправдали моих ожиданий. Не рекомендую
",1
154,"Купил классные брюки! Тёмно-синие, размер XL. Качество отличное, ткань приятная. Холерик в восторге
",1
155,"Купил игрушку для мужа. Качество хорошее, но упаковка повреждена. Не знаю, кто вскрывал пакет, но товар пришёл целым. Доволен покупкой
",1
156,"Покрывало оказалось немного великовато, но это не критично. В целом, покупкой доволен, покрывало приятное на ощупь и хорошо смотрится в интерьере
",1
157,"Купил классную кофемашину! Вкуснейший кофе, как в кофейне. Доставка быстрая, продавец вежливый. Рекомендую
",1
158,"Средство от комаров оказалось эффективным. Сестра осталась довольна
",1
159,"Удобная подушка, хорошо поддерживает голову, не вызывает дискомфорта во время сна
",1
160,"Купил какую-то фигню. Не то, что ожидал. Недоволен. Не рекомендую
",1
161,"Вещь хорошая, но упаковка вскрыта, поэтому не уверен, что товар пришёл цельным
",1
162,"Сумка Gucci — супер! Купил для сына, доволен. Цвет коричневый. Качество отличное
",1
163,"Увлажнитель хороший, но ожидал, что будет тише
",1
164,"Купил рюкзак для ноутбука. Объём большой, но удобный. Муж доволен
",1
165,"Купил крутой рюкзак. Очень удобный и вместительный. Респект производителю
",1
166,"Купил Ballu UHB-705 и доволен. Хороший увлажнитель, хорошо работает
",1
167,"Не ожидал, что увлажнитель Ballu UHB-705 так хорошо справится с задачей. В моей квартире стало намного легче дышать. Креативный дизайн и компактные размеры позволили установить увлажнитель даже в небольшом помещении. Рекомендую
",1
168,"Купил для свекрови, довольна. Хорошая вещь
",1
169,"Шампунь отличный! Ментоловый аромат бодрит. Экономичный расход. Волосы после использования мягкие и блестящие. Буду брать ещё
",1
170,"Купил адаптер питания Baseus на 60 Вт для своих нужд. Доволен качеством и скоростью зарядки
",1
171,"Лесной бальзам"" — суперская зубная паста, тренер в восторг
",1
172,"Утюг оказался качественным и хорошо выполняет свои функции. Керамическая подошва легко чистится и скользит по ткани. Очень доволен покупкой
",1
173,"Купил гель для душа Synergetic. Приятный аромат, хорошо пенится, кожа после применения мягкая. Отличный выбор
",1
174,"Купил не по размеру, но продавец не предупредил. Не доволен покупкой. Не рекомендую
",1
175,"Удобный фонарик. Взял для походов. Сангвиник, поэтому доволен
",1
176,"Купил классную юбку для подруги. Размер подошёл идеально, цвет яркий и стильный. Качество на высоте. Она точно будет в восторге! 
",1
177,"Купил отличную кофемашину. Очень доволен. Быстро делает вкусный кофе. Буду рекомендовать друзьям
",1
178,"Не ожидал, что маска окажется настолько неудобной. Не рекомендую
",1
179,"Маска для сна оказалась удобной и приятной покупкой. Муж остался доволен, и я тоже. Она серого цвета и хорошо сочетается с нашим постельным бельём. Маска хорошо прилегает к лицу, не сползает во время сна. Могу рекомендовать эту маску всем, кто ищет качественный и удобный аксессуар для сна
",1
180,"Эта мультиварка — просто ужас! Не рекомендую её никому. Ожидания не оправдались, а цена явно завышена. Ужасный товар. Не покупайте
",1
181,"Купил эту штуку для свёкра, но он не оценил. Разочарован, не оправдала ожиданий
",1
182,"Отличная подушка! Качество на высоте. Наполнитель плотный и упругий. Дизайн простой и стильный. Муж в восторге. Рекомендую
",1
183,"Купил наушники JBL Tune 700BT и, если честно, они оказались не такими удобными, как я ожидал. Звук хороший, но управление не интуитивное, приходится постоянно лезть в инструкцию. Ещё они не очень лёгкие, и через пару часов ношения начинают давить на уши. Не уверен, что буду рекомендовать их другим
",1
184,"Купил тёще куртку-рубашку Zara размера L, серого цвета. Тёща в восторге, а я доволен, что угадал с подарком
",1
185,"Купил эту штуку, но она не оправдала моих ожиданий. Не знаю, что с ней делать. Продавец, не надо так
",1
186,"Брюки Next оказались удобными и практичными. Размер L подошёл идеально. Серый цвет универсальный и практичный. Отличный выбор для тренировок
",1
187,"Маска подошла, но слишком много белого цвета. Не ожидал
",1
188,"Очки оказались качественными и удобными для дочки. Она довольна. Доставили быстро
",1
189,"Купил жене комплект постельного белья. Покупкой доволен, ткань мягкая и приятная на ощупь. Но размер пододеяльника оказался немного меньше, чем я ожидал. В целом, за такую цену неплохо
",1
190,"Неплохая вещь, но не для меня. Сосед сказал, что доволен, посмотрим
",1
191,"Гипоаллергенный кондиционер Lenor — хороший выбор для друга. Доволен качеством
",1
192,"Отличные кроссовки! Размер подошёл идеально, качество отличное, дизайн стильный. Очень доволен покупкой
",1
193,"Бра оказался хорошим. Тёща довольна. Спасибо
",1
194,"Не ожидал, что брюки будут настолько велики. Размер XXL оказался слишком большим для меня. Недоволен покупкой
",1
195,"Набор термокружек — полная ерунда. Не покупайте! Сосед остался недоволен
",1
196,"Купил набор термокружек, но они оказались не такими удобными, как ожидалось. Вроде бы и качество хорошее, но всё равно не то. Недоволен покупкой
",1
197,"Отличные кроссовки! Удобные и стильные. Размер подошёл идеально. Цвет тоже выбрал удачный. Всем рекомендую
",1
198,"Ортопедический матрас Vegas оказался хорошим выбором для сына. Я доволен, что он удобный и качественный
",1
199,"Купил куртку-рубашку Zara, размер L. Материал качественный. Цвет не маркий. Размер подошёл. Но немного великоват, думаю, что больше подойдёт для сестры
",1
200,"Товар пришёл вовремя, упакован хорошо. Сосед остался доволен
",1
201,"Это просто кошмар! Копилка оказалась неудобной, не подошла по размеру, и я разочарован. Не рекомендую
",1
202,"Купил Ballu AP-110. Хорошо очищает воздух, тихий. Вещь хорошая
",1
203,"Не ожидал, что очиститель воздуха Ballu подойдёт для комнаты 30 квадратных метров. Тёща была приятно удивлена результатом. Прост в использовании, хорошо справляется с очисткой воздуха. Рекомендую
",1
204,"Отличные столовые приборы! Дизайн стильный, качество на высоте. Ложка, вилка и нож прекрасно подходят для моей кухни. Рекомендую
",1
205,"Не ожидал, что штаны окажутся настолько малы, думал, сядут после стирки, но нет. Размер явно не подошёл. Недоволен покупкой
",1
206,"Очень странный щенок! Ожидал большего. Не оправдал надежд. Брату не понравился. Не рекомендую
",1
207,"Купил это бельё, чтобы сделать подарок тёще, но оно оказалось неудобным. Оно не подошло по размеру и оказалось дороже, чем я ожидал. Недоволен покупкой
",1
208,"Купил классную футболку. Размер подошёл, принт крутой. Весёлый, как всегда
",1
209,"Товар оказался не тем, что ожидал. Недоволен покупкой. Верну продавцу
",1
210,"Отличные брюки! Размер L сел идеально, ткань мягкая и приятная к телу. Очень доволен покупкой
",1
211,"Купил рюкзак для ноутбука. Доволен качеством и функциональностью. Размер подходит для моего ноутбука 17 дюймов
",1
212,"Купил удобный рюкзак для ноутбука. Объём 17–20 литров, цвет коричневый. Качество хорошее, пошив аккуратный. В целом, доволен покупкой
",1
213,"Вот блин, а я думал, что это подарок для врача. А он, оказывается, себе купил. Ну что за невезуха
",1
214,"Чёртовы кроссовки не подошли! Размер 9,5? Ха! Да они малы, как чёртов носок! Я думал, что они для жены, а они даже мне не налезут. И почему я должен платить за это дерьмо? Не, это не для меня. Я лучше поищу в другом магазине
",1
215,"Маска оказалась удобной и приятной на ощупь. Размер подошёл идеально. Серый цвет маски хорошо сочетается с другими вещами в моей спальне. Сделана из хлопка, поэтому она мягкая и комфортная. Я доволен своей покупкой
",1
216,"Не рекомендую. Пылесос оказался неудобным, плохо справляется с уборкой. Не оправдал ожиданий
",1
217,"Недоволен тем, что крем оказался таким жирным. Не понимаю, зачем он нужен, если он не впитывается. И вообще, не понимаю, зачем я его купил. Это был ужасный выбор
",1
218,"Зубная паста оказалась качественной, но упаковка вскрыта, что немного смущает. Подруга будет рада подарку.""
",1
219,"Красная рубашка Pull & Bear размера L. Отличный выбор. Качество отличное. Цена адекватная. Рекомендую
",1
220,"Очки Ray-Ban — отличный выбор для приятеля. Быстрая доставка и хорошее качество. Рекомендую
",1
221,"Купил куртку-рубашку, но она оказалась не по размеру, хотя размер был подобран правильно. Друг остался недоволен. Недоволен покупкой
",1
222,"Вещь достойная. Размер подошёл. Но не уверен, что белый цвет практичен
",1
223,"Не ожидал, что пододеяльник будет настолько тонкий. Думал, что прослужит дольше. Но в целом, нормально. Посмотрим, как долго прослужит. Недоволен
",1
224,"Покупал фонарик для своих нужд. Качество хорошее, соответствует описанию. Но ожидал, что будет ярче
",1
